龙江移动,#genre#
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.68.155:6610/PLTV/88888888/224/3221226540/index.m3u8?IASHttpSessionId=
CCTV3,http://39.134.68.155:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=
CCTV4,http://39.134.68.155:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221225715/index.m3u8?IASHttpSessionId=
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=
CCTV5+,http://39.134.68.155:6610/PLTV/88888888/224/3221225603/index.m3u8?IASHttpSessionId=
CCTV6,http://39.134.68.155:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=
CCTV7,http://39.134.68.155:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=
CCTV8,http://39.134.68.155:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=
CCTV9,http://39.134.68.155:6610/PLTV/88888888/224/3221225734/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221225730/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221226473/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221226565/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.68.155:6610/PLTV/88888888/224/3221225731/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.68.155:6610/PLTV/88888888/224/3221226568/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.68.155:6610/PLTV/88888888/224/3221226537/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.68.155:6610/PLTV/88888888/224/3221226571/index.m3u8?IASHttpSessionId=
CCTV14,http://39.134.68.155:6610/PLTV/88888888/224/3221225732/index.m3u8?IASHttpSessionId=
CCTV14,http://39.134.68.155:6610/PLTV/88888888/224/3221226591/index.m3u8?IASHttpSessionId=
CCTV15,http://39.134.68.155:6610/PLTV/88888888/224/3221226476/index.m3u8?IASHttpSessionId=
CCTV16,http://39.134.68.155:6610/PLTV/88888888/224/3221226100/index.m3u8?IASHttpSessionId=
CCTV17,http://39.134.68.155:6610/PLTV/88888888/224/3221225765/index.m3u8?IASHttpSessionId=
CETV1,http://39.134.68.155:6610/PLTV/88888888/224/3221225652/index.m3u8?IASHttpSessionId=
